'id_match','date_match','home','away','stage'
304,07/05/2016,5,13,37
305,07/05/2016,7,14,37
306,07/05/2016,4,12,37
307,07/05/2016,3,11,37
308,07/05/2016,0,15,37
309,07/05/2016,8,9,37
310,14/05/2016,15,8,38
311,14/05/2016,11,5,38
312,14/05/2016,14,2,38
313,14/05/2016,10,7,38
314,14/05/2016,9,4,38
315,14/05/2016,18,17,38
316,14/05/2016,19,6,38
317,14/05/2016,16,1,38
318,14/05/2016,12,3,38
319,14/05/2016,13,0,38
320,29/08/2015,15,7,4
321,30/08/2015,1,6,4
322,29/08/2015,16,3,4
323,28/08/2015,10,4,4
324,29/08/2015,2,17,4
325,30/08/2015,11,19,4
326,29/08/2015,12,18,4
327,29/08/2015,13,8,4
328,30/08/2015,14,0,4
329,29/08/2015,9,5,4
330,13/09/2015,17,11,5
331,12/09/2015,18,15,5
332,12/09/2015,3,2,5
333,13/09/2015,4,0,5
334,12/09/2015,5,14,5
335,13/09/2015,6,13,5
336,12/09/2015,7,10,5
337,11/09/2015,19,1,5
338,12/09/2015,8,12,5
339,12/09/2015,9,16,5
340,19/09/2015,15,9,6
341,19/09/2015,0,7,6
342,20/09/2015,1,8,6
343,19/09/2015,16,5,6
344,19/09/2015,10,17,6
345,20/09/2015,4,3,6
346,20/09/2015,11,18,6
347,19/09/2015,12,19,6
348,18/09/2015,13,2,6
349,20/09/2015,14,6,6
350,22/09/2015,15,12,7
351,23/09/2015,17,13,7
352,29/09/2015,2,6,7
353,23/09/2015,18,16,7
354,23/09/2015,3,0,7
355,24/09/2015,5,11,7
356,23/09/2015,7,1,7
357,22/09/2015,19,10,7
358,23/09/2015,8,4,7
359,23/09/2015,9,14,7
360,26/09/2015,0,8,8
361,26/09/2015,1,3,8
362,26/09/2015,16,17,8
363,27/09/2015,10,11,8
364,27/09/2015,4,15,8
365,27/09/2015,5,18,8
366,26/09/2015,6,19,8
367,25/09/2015,12,2,8
368,26/09/2015,13,9,8
369,27/09/2015,14,7,8
370,03/10/2015,15,0,9
371,04/10/2015,16,14,9
372,03/10/2015,17,8,9
373,02/10/2015,2,5,9
374,04/10/2015,18,1,9
375,03/10/2015,3,12,9
376,04/10/2015,11,13,9
377,04/10/2015,19,4,9
378,03/10/2015,9,10,9
379,04/11/2015,7,6,9
