'id_event','match_event','time','player','team','type_e'
520,214,55,46,8,'goal'
521,214,74,388,4,'goal'
522,215,3,223,3,'goal'
523,215,11,349,10,'goal'
524,215,17,180,3,'goal'
525,215,35,128,3,'goal'
526,215,61,180,3,'goal'
527,215,86,321,3,'own'
528,218,56,296,11,'goal'
529,218,64,84,16,'penalty'
530,218,69,88,11,'own'
531,218,90,440,16,'goal'
532,219,1,208,13,'goal'
533,219,15,93,13,'goal'
534,219,23,208,13,'goal'
535,219,45,208,13,'goal'
536,219,60,298,6,'goal'
537,220,5,177,0,'goal'
538,220,39,390,0,'own'
539,220,91,391,0,'goal'
540,221,2,26,15,'goal'
541,221,20,26,15,'goal'
542,223,87,185,14,'goal'
543,224,8,267,13,'goal'
544,224,12,393,3,'goal'
545,224,56,364,13,'goal'
546,225,19,271,4,'goal'
547,225,47,122,4,'goal'
548,225,56,69,4,'goal'
549,225,63,394,4,'goal'
550,225,88,68,4,'goal'
551,225,90,69,4,'goal'
553,226,61,202,19,'goal'
554,227,77,396,6,'goal'
555,228,66,90,7,'goal'
556,228,67,22,16,'goal'
557,228,77,41,7,'goal'
558,229,22,276,8,'goal'
559,229,65,296,11,'goal'
560,230,5,370,11,'goal'
561,230,11,9,12,'goal'
562,230,37,370,11,'goal'
563,230,79,279,12,'goal'
564,231,7,64,10,'goal'
565,231,24,198,10,'goal'
566,232,14,136,19,'goal'
567,232,18,372,19,'goal'
568,232,19,13,19,'goal'
569,232,46,54,19,'goal'
570,232,53,54,19,'goal'
571,232,56,54,19,'goal'
572,232,59,400,19,'own'
573,232,75,136,19,'miss'
574,232,75,136,19,'goal'
575,232,89,54,19,'goal'
576,233,34,149,18,'goal'
577,233,46,371,4,'goal'
578,234,49,261,6,'goal'
579,234,69,261,6,'goal'
580,235,70,193,17,'goal'
581,236,62,37,7,'goal'
582,236,76,41,7,'goal'
583,237,37,17,2,'goal'
584,237,59,380,2,'goal'
585,237,93,55,0,'goal'
586,238,33,223,3,'goal'
587,238,55,180,3,'goal'
588,238,70,319,13,'goal'
589,238,82,75,13,'own'
590,239,5,46,8,'goal'
